experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,ranking_strategy,shortlist_k,shortlist_matcher,probes_per_identity,gallery_samples_per_identity,num_probes,num_valid_ranks,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_15_accuracy,mean_average_precision,mean_rank,median_rank,std_rank
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,loftr,loftr,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.7,0.74,0.74,0.74,0.7264168063050811,11.54,1.0,17.942363278007722
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,orb,orb-fingervein,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.58,0.7,0.74,0.74,0.6373267372649345,11.72,1.0,17.315934857812326
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,orb,orb,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.36,0.56,0.6,0.6,0.4573985235300125,15.4,3.0,17.769637024992942
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,sift,sift-fingervein,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.48,0.7,0.74,0.74,0.581409574874961,11.92,2.0,17.377963056699137
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,sift,sift,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.44,0.6,0.62,0.66,0.5218253524943332,14.94,2.0,18.310008192242844
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,superglue,superglue-fingervein,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.2,0.6,0.72,0.74,0.36384609923437394,13.36,4.0,17.022056280015057
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,superglue,superglue,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.02,0.16,0.42,0.74,0.1322151449173731,17.6,12.0,14.793241700181879
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,sgmnet,sgmnet-fingervein,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.48,0.72,0.74,0.74,0.6053056951939699,11.92,2.0,17.757071830681994
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,sgmnet,sgmnet,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.22,0.62,0.7,0.74,0.4010730944613692,13.18,3.0,17.184516286471375
iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml,Identification test experiment iris casia 50 identities 1 probe 3 gallery masked all matchers cached cascade,aspanformer,aspanformer,iris,casia,bioverify/data/identification/identification_iris_casia_50_1_3_left.csv,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\config.yaml,results\identification\iris_casia_50_1_3_left_masked_crop_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.48,0.74,0.74,0.74,0.5860834729717477,12.0,2.0,17.69858751426226
