matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;38;37;17;20
orb-fingervein,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;44;31;37;30
sift-fingervein,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;6;26;38;44
superglue-fingervein,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;30;44;38;43
sgmnet-fingervein,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;34;26;38;9
aspanformer,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;44;30;34;37
deepdetect,4,MMU-Iris::1::4::L,1,1,True,45,cascade,multiple,mean,1;9;44;20;30
loftr,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;1;39;3;6
orb-fingervein,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;35;40;1;6
sift-fingervein,8,MMU-Iris::10::4::L,10,2,False,45,cascade,multiple,mean,33;10;39;35;3
superglue-fingervein,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;20;3;39;6
sgmnet-fingervein,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;11;3;40;26
aspanformer,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;11;39;28;40
deepdetect,8,MMU-Iris::10::4::L,10,1,True,45,cascade,multiple,mean,10;1;26;3;35
loftr,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;13;14;39;12
orb-fingervein,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;23;12;14;43
sift-fingervein,12,MMU-Iris::11::0::L,11,2,False,45,cascade,multiple,mean,46;11;43;23;26
superglue-fingervein,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;13;39;12;25
sgmnet-fingervein,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;26;9;13;8
aspanformer,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;39;13;14;46
deepdetect,12,MMU-Iris::11::0::L,11,1,True,45,cascade,multiple,mean,11;13;14;23;43
loftr,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;11;13;1;24
orb-fingervein,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;15;1;16;10
sift-fingervein,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;24;14;5;19
superglue-fingervein,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;11;18;5;9
sgmnet-fingervein,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;9;10;15;14
aspanformer,16,MMU-Iris::12::4::L,12,1,True,45,cascade,multiple,mean,12;9;24;13;11
deepdetect,16,MMU-Iris::12::4::L,12,4,False,45,cascade,multiple,mean,1;24;9;12;13
loftr,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;11;32;14;27
orb-fingervein,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;32;46;27;12
sift-fingervein,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;10;8;12;14
superglue-fingervein,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;24;27;1;11
sgmnet-fingervein,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;8;27;6;17
aspanformer,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;14;17;12;1
deepdetect,20,MMU-Iris::13::0::L,13,1,True,45,cascade,multiple,mean,13;17;24;12;1
loftr,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;27;11;12;3
orb-fingervein,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;15;10;27;16
sift-fingervein,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;27;8;3;12
superglue-fingervein,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;11;3;34;1
sgmnet-fingervein,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;8;16;5;34
aspanformer,24,MMU-Iris::14::3::L,14,1,True,45,cascade,multiple,mean,14;11;46;13;5
deepdetect,24,MMU-Iris::14::3::L,14,2,False,45,cascade,multiple,mean,12;14;36;15;46
loftr,28,MMU-Iris::15::2::L,15,1,True,45,cascade,multiple,mean,15;39;27;34;13
orb-fingervein,28,MMU-Iris::15::2::L,15,1,True,45,cascade,multiple,mean,15;42;13;19;34
sift-fingervein,28,MMU-Iris::15::2::L,15,2,False,45,cascade,multiple,mean,27;15;34;14;19
superglue-fingervein,28,MMU-Iris::15::2::L,15,1,True,45,cascade,multiple,mean,15;34;27;36;13
sgmnet-fingervein,28,MMU-Iris::15::2::L,15,1,True,45,cascade,multiple,mean,15;13;27;10;38
aspanformer,28,MMU-Iris::15::2::L,15,1,True,45,cascade,multiple,mean,15;39;46;14;27
deepdetect,28,MMU-Iris::15::2::L,15,2,False,45,cascade,multiple,mean,36;15;39;3;46
loftr,32,MMU-Iris::16::2::L,16,1,True,45,cascade,multiple,mean,16;32;6;43;21
orb-fingervein,32,MMU-Iris::16::2::L,16,2,False,45,cascade,multiple,mean,42;16;29;32;43
sift-fingervein,32,MMU-Iris::16::2::L,16,8,False,45,cascade,multiple,mean,21;42;37;43;38
superglue-fingervein,32,MMU-Iris::16::2::L,16,2,False,45,cascade,multiple,mean,8;16;37;29;42
sgmnet-fingervein,32,MMU-Iris::16::2::L,16,1,True,45,cascade,multiple,mean,16;8;18;32;45
aspanformer,32,MMU-Iris::16::2::L,16,1,True,45,cascade,multiple,mean,16;26;43;21;6
deepdetect,32,MMU-Iris::16::2::L,16,1,True,45,cascade,multiple,mean,16;30;21;37;32
loftr,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;30;32;1;46
orb-fingervein,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;30;33;19;3
sift-fingervein,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;37;46;1;42
superglue-fingervein,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;3;1;40;30
sgmnet-fingervein,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;40;3;1;42
aspanformer,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;3;30;40;1
deepdetect,36,MMU-Iris::17::2::L,17,1,True,45,cascade,multiple,mean,17;3;30;41;27
loftr,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;21;40;7;12
orb-fingervein,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;40;21;28;8
sift-fingervein,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;30;20;19;21
superglue-fingervein,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;21;8;28;34
sgmnet-fingervein,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;26;12;40;7
aspanformer,40,MMU-Iris::18::0::L,18,2,False,45,cascade,multiple,mean,21;18;26;34;12
deepdetect,40,MMU-Iris::18::0::L,18,1,True,45,cascade,multiple,mean,18;19;34;21;1
loftr,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;32;33;1;6
orb-fingervein,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;1;32;7;41
sift-fingervein,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;1;12;5;41
superglue-fingervein,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;8;41;35;29
sgmnet-fingervein,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;5;8;32;29
aspanformer,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;33;35;6;41
deepdetect,44,MMU-Iris::19::2::L,19,1,True,45,cascade,multiple,mean,19;29;1;10;11
loftr,48,MMU-Iris::2::0::L,2,18,False,45,cascade,multiple,mean,12;1;14;17;22
orb-fingervein,48,MMU-Iris::2::0::L,2,14,False,45,cascade,multiple,mean,6;11;17;16;13
sift-fingervein,48,MMU-Iris::2::0::L,2,15,False,45,cascade,multiple,mean,16;37;11;6;28
superglue-fingervein,48,MMU-Iris::2::0::L,2,18,False,45,cascade,multiple,mean,1;17;12;28;11
sgmnet-fingervein,48,MMU-Iris::2::0::L,2,18,False,45,cascade,multiple,mean,29;17;13;40;1
aspanformer,48,MMU-Iris::2::0::L,2,18,False,45,cascade,multiple,mean,40;11;12;14;1
deepdetect,48,MMU-Iris::2::0::L,2,16,False,45,cascade,multiple,mean,11;14;29;1;28
loftr,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;17;38;16;21
orb-fingervein,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;38;30;12;17
sift-fingervein,52,MMU-Iris::20::2::L,20,2,False,45,cascade,multiple,mean,40;20;14;21;2
superglue-fingervein,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;22;40;42;30
sgmnet-fingervein,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;42;3;32;30
aspanformer,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;16;32;12;38
deepdetect,52,MMU-Iris::20::2::L,20,1,True,45,cascade,multiple,mean,20;22;16;1;10
loftr,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;18;40;28;14
orb-fingervein,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;8;41;34;14
sift-fingervein,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;46;41;40;10
superglue-fingervein,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;46;28;18;3
sgmnet-fingervein,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;1;41;40;24
aspanformer,56,MMU-Iris::21::1::L,21,1,True,45,cascade,multiple,mean,21;28;46;24;3
deepdetect,56,MMU-Iris::21::1::L,21,2,False,45,cascade,multiple,mean,41;21;14;1;46
loftr,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;11;38;12;15
orb-fingervein,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;32;10;11;15
sift-fingervein,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;8;32;13;12
superglue-fingervein,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;43;11;13;10
sgmnet-fingervein,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;43;11;1;33
aspanformer,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;8;11;13;15
deepdetect,60,MMU-Iris::22::1::L,22,1,True,45,cascade,multiple,mean,22;15;42;12;32
loftr,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;26;32;38;40
orb-fingervein,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;1;11;8;42
sift-fingervein,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;5;15;38;24
superglue-fingervein,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;26;32;38;1
sgmnet-fingervein,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;1;42;24;40
aspanformer,64,MMU-Iris::23::0::L,23,1,True,45,cascade,multiple,mean,23;38;26;24;10
deepdetect,64,MMU-Iris::23::0::L,23,2,False,45,cascade,multiple,mean,12;23;32;40;38
loftr,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;12;9;40;1
orb-fingervein,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;13;12;11;1
sift-fingervein,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;42;14;27;13
superglue-fingervein,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;36;1;13;20
sgmnet-fingervein,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;36;40;14;37
aspanformer,68,MMU-Iris::24::2::L,24,1,True,45,cascade,multiple,mean,24;1;12;14;13
deepdetect,68,MMU-Iris::24::2::L,24,2,False,45,cascade,multiple,mean,12;24;14;9;21
loftr,72,MMU-Iris::25::1::L,25,1,True,45,cascade,multiple,mean,25;16;1;21;40
