experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,ranking_strategy,shortlist_k,shortlist_matcher,probes_per_identity,gallery_samples_per_identity,num_probes,num_valid_ranks,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_15_accuracy,mean_average_precision,mean_rank,median_rank,std_rank
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,loftr,loftr,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.56,0.62,0.62,0.62,0.5957173210654553,13.42,1.0,16.699808382134208
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,orb,orb-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.46,0.54,0.62,0.64,0.5180419699360715,13.28,2.5,15.812703753627966
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,sift,sift-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.42,0.56,0.58,0.58,0.48605717626297695,14.44,3.0,16.245811767960383
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,superglue,superglue-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.46,0.6,0.62,0.62,0.5290173210654553,13.7,2.0,16.543578814754685
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.5,0.56,0.58,0.62,0.540835502883637,13.98,1.5,16.450519748628004
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,aspanformer,aspanformer,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.18,0.42,0.54,0.62,0.3098282878764221,15.46,8.0,15.527021607507345
face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade,deepdetect,deepdetect,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a050_051.csv,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\config.yaml,results\identification\face_multipie_50_1_3_a50_51_masked__all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.44,0.56,0.6,0.62,0.5024685285840358,13.84,3.0,16.233742636865966
finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml,Identification test experiment finger eemscdbm 50 identities 1 probe 3 gallery masked all matchers cached cascade,loftr,loftr,fingervein,eemscdbm,bioverify/data/identification/identification_finger_eemscdbm_50_1_3_f1.csv,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\config.yaml,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.02,0.22,0.3,0.8,0.14281506964509386,13.9,13.0,9.274157643689264
finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml,Identification test experiment finger eemscdbm 50 identities 1 probe 3 gallery masked all matchers cached cascade,orb,orb-fingervein,fingervein,eemscdbm,bioverify/data/identification/identification_finger_eemscdbm_50_1_3_f1.csv,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\config.yaml,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.74,0.8,0.8,0.82,0.7779957861295188,6.52,1.0,11.524304751263738
finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml,Identification test experiment finger eemscdbm 50 identities 1 probe 3 gallery masked all matchers cached cascade,sift,sift-fingervein,fingervein,eemscdbm,bioverify/data/identification/identification_finger_eemscdbm_50_1_3_f1.csv,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\config.yaml,results\identification\finger_eemscdbm_50_1_3_f1_all_matchers_cached_cascade.yaml\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.5,0.68,0.78,0.82,0.57869671577674,7.84,1.5,11.193498112743844
