matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error,timings_ms
loftr,iris,AMF-Iris_genuine_0,assem,assem,2160,2160,2160,1912,0.8852,True,0.8809,True,True,1.5961,"{""load_images"": 2.7217, ""preprocess"": 0.6013, ""masking"": 12.2826, ""inference_ms"": 761.0313, ""match_impl_total"": 765.6953, ""homography"": 3.1014, ""result_creation"": 0.1455}"
orb,iris,AMF-Iris_genuine_0,assem,assem,86,83,39,34,0.8718,True,0.8718,True,True,1.4772,"{""load_images"": 1.7985, ""preprocess"": 0.6088, ""masking"": 9.7906, ""feature_extraction_ms"": 95.9558, ""matching_ms"": 0.6609, ""match_impl_total"": 96.7068, ""homography"": 0.7654, ""result_creation"": 0.069}"
orb-fingervein,iris,AMF-Iris_genuine_0,assem,assem,3003,2804,478,384,0.8033,True,0.7961,True,True,1.6816,"{""load_images"": 1.505, ""preprocess"": 0.3656, ""masking"": 9.1776, ""feature_extraction_ms"": 34.8986, ""matching_ms"": 50.0971, ""match_impl_total"": 85.2594, ""homography"": 1.0691, ""result_creation"": 0.0687}"
sift,iris,AMF-Iris_genuine_0,assem,assem,28,32,17,13,0.7647,True,0.7469,True,True,1.8322,"{""load_images"": 1.3444, ""preprocess"": 0.2104, ""masking"": 8.8644, ""feature_extraction_ms"": 98.2065, ""matching_ms"": 0.767, ""match_impl_total"": 99.099, ""homography"": 0.8399, ""result_creation"": 0.0695}"
sift-fingervein,iris,AMF-Iris_genuine_0,assem,assem,446,419,153,126,0.8235,True,0.8135,True,True,1.7457,"{""load_images"": 1.6665, ""preprocess"": 0.5935, ""masking"": 9.3598, ""feature_extraction_ms"": 114.302, ""matching_ms"": 12.0965, ""match_impl_total"": 126.8277, ""homography"": 0.8051, ""result_creation"": 0.0652}"
superglue,iris,AMF-Iris_genuine_0,assem,assem,180,155,131,73,0.5573,True,0.5330,True,True,2.3901,"{""load_images"": 2.7785, ""preprocess"": 0.8057, ""masking"": 11.2521, ""inference_ms"": 169.7982, ""match_impl_total"": 185.7292, ""homography"": 1.8678, ""result_creation"": 0.0679}"
superglue-fingervein,iris,AMF-Iris_genuine_0,assem,assem,353,304,219,121,0.5525,True,0.5295,True,True,2.3519,"{""load_images"": 1.3743, ""preprocess"": 0.3212, ""masking"": 9.0875, ""inference_ms"": 112.2508, ""match_impl_total"": 114.8528, ""homography"": 1.9814, ""result_creation"": 0.0776}"
sgmnet,iris,AMF-Iris_genuine_0,assem,assem,1404,1440,614,288,0.4691,True,0.4659,True,True,1.6340,"{""load_images"": 1.5025, ""preprocess"": 0.2123, ""masking"": 8.0314, ""feature_extraction_ms"": 163.1773, ""matching_ms"": 177.3182, ""match_impl_total"": 341.1229, ""homography"": 5.13, ""result_creation"": 0.0707}"
sgmnet-fingervein,iris,AMF-Iris_genuine_0,assem,assem,1404,1440,679,284,0.4183,True,0.4160,True,True,1.6071,"{""load_images"": 1.7192, ""preprocess"": 0.2111, ""masking"": 8.9618, ""feature_extraction_ms"": 154.5686, ""matching_ms"": 142.6193, ""match_impl_total"": 297.8201, ""homography"": 5.4422, ""result_creation"": 0.0706}"
aspanformer,iris,AMF-Iris_genuine_0,assem,assem,3557,3557,3557,3024,0.8502,True,0.8490,True,True,1.5268,"{""load_images"": 1.4057, ""preprocess"": 0.0549, ""masking"": 9.0887, ""inference_ms"": 595.5678, ""match_impl_total"": 604.5773, ""homography"": 4.2824, ""result_creation"": 0.0805}"
deepdetect,iris,AMF-Iris_genuine_0,assem,assem,8907,8755,1596,1596,1.0000,True,1.0000,True,True,1.3001,"{""load_images"": 1.8009, ""preprocess"": 0.7645, ""masking"": 5.7762, ""cnn_inference_ms"": 49.514, ""sift_descriptor_ms"": 59.0835, ""matching_ms"": 274.7894, ""match_impl_total"": 410.0557, ""homography"": 2.1677, ""result_creation"": 0.0683}"
loftr,iris,AMF-Iris_genuine_1,abeer,abeer,2371,2371,2371,1725,0.7275,True,0.7174,True,True,1.7811,"{""load_images"": 1.7891, ""preprocess"": 0.4917, ""masking"": 7.9347, ""inference_ms"": 388.7066, ""match_impl_total"": 391.6238, ""homography"": 2.7205, ""result_creation"": 0.0679}"
orb,iris,AMF-Iris_genuine_1,abeer,abeer,275,221,29,14,0.4828,True,0.4804,True,True,1.2126,"{""load_images"": 1.3232, ""preprocess"": 0.2087, ""masking"": 8.0105, ""feature_extraction_ms"": 9.1431, ""matching_ms"": 1.4934, ""match_impl_total"": 10.7358, ""homography"": 2.9896, ""result_creation"": 0.066}"
orb-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,3918,3678,153,102,0.6667,True,0.6563,True,True,1.8125,"{""load_images"": 1.3543, ""preprocess"": 0.2261, ""masking"": 7.8802, ""feature_extraction_ms"": 38.8301, ""matching_ms"": 78.038, ""match_impl_total"": 117.0387, ""homography"": 1.3161, ""result_creation"": 0.0651}"
sift,iris,AMF-Iris_genuine_1,abeer,abeer,18,19,7,5,0.7143,True,0.6658,True,True,0.6774,"{""load_images"": 3.1142, ""preprocess"": 0.5388, ""masking"": 8.0231, ""feature_extraction_ms"": 91.617, ""matching_ms"": 0.3747, ""match_impl_total"": 92.1005, ""homography"": 0.9343, ""result_creation"": 0.0642}"
sift-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,846,744,80,52,0.6500,True,0.6257,True,True,2.2618,"{""load_images"": 1.341, ""preprocess"": 0.4852, ""masking"": 8.1314, ""feature_extraction_ms"": 116.9083, ""matching_ms"": 23.5044, ""match_impl_total"": 141.2171, ""homography"": 1.4515, ""result_creation"": 0.0681}"
superglue,iris,AMF-Iris_genuine_1,abeer,abeer,157,143,118,47,0.3983,False,0.3743,True,False,2.7414,"{""load_images"": 2.8997, ""preprocess"": 0.8477, ""masking"": 12.9924, ""inference_ms"": 98.9076, ""match_impl_total"": 104.1043, ""homography"": 5.6359, ""result_creation"": 0.0642}"
superglue-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,331,309,240,100,0.4167,True,0.3985,True,True,2.3891,"{""load_images"": 2.7053, ""preprocess"": 0.7892, ""masking"": 13.1225, ""inference_ms"": 124.2239, ""match_impl_total"": 129.9266, ""homography"": 6.7778, ""result_creation"": 0.0639}"
