matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,iris,CASIA-Iris-Thousand_genuine_0,931,931,280,280,280,254,0.9071,True,0.9071,True,True,1.0216
orb,iris,CASIA-Iris-Thousand_genuine_0,931,931,61,95,23,16,0.6957,True,0.6957,True,True,0.9393
sift,iris,CASIA-Iris-Thousand_genuine_0,931,931,26,17,12,9,0.7500,True,0.7500,True,True,0.4578
superglue,iris,CASIA-Iris-Thousand_genuine_0,931,931,60,57,47,27,0.5745,True,0.5745,True,True,2.1807
sgmnet,iris,CASIA-Iris-Thousand_genuine_0,931,931,318,279,143,74,0.5175,True,0.5175,True,True,1.5440
aspanformer,iris,CASIA-Iris-Thousand_genuine_0,931,931,1285,1285,1285,1075,0.8366,True,0.8366,True,True,2.1500
deepdetect,iris,CASIA-Iris-Thousand_genuine_0,931,931,2211,2309,361,361,1.0000,True,1.0000,True,True,0.3806
loftr,iris,CASIA-Iris-Thousand_genuine_1,162,162,416,416,416,329,0.7909,True,0.7909,True,True,1.7535
orb,iris,CASIA-Iris-Thousand_genuine_1,162,162,133,153,24,18,0.7500,True,0.7500,True,True,1.6447
sift,iris,CASIA-Iris-Thousand_genuine_1,162,162,48,56,9,8,0.8889,True,0.8889,True,True,1.7648
superglue,iris,CASIA-Iris-Thousand_genuine_1,162,162,59,83,50,26,0.5200,True,0.5200,True,True,2.2258
sgmnet,iris,CASIA-Iris-Thousand_genuine_1,162,162,381,429,199,126,0.6332,True,0.6332,True,True,1.4152
aspanformer,iris,CASIA-Iris-Thousand_genuine_1,162,162,1195,1195,1195,948,0.7933,True,0.7933,True,True,2.4256
deepdetect,iris,CASIA-Iris-Thousand_genuine_1,162,162,2051,2213,186,186,1.0000,True,1.0000,True,True,0.8215
loftr,iris,CASIA-Iris-Thousand_genuine_2,036,036,457,457,457,380,0.8315,True,0.8315,True,True,1.1973
orb,iris,CASIA-Iris-Thousand_genuine_2,036,036,62,75,25,21,0.8400,True,0.8400,True,True,1.1051
sift,iris,CASIA-Iris-Thousand_genuine_2,036,036,37,49,20,19,0.9500,True,0.9500,True,True,0.8707
superglue,iris,CASIA-Iris-Thousand_genuine_2,036,036,95,93,81,56,0.6914,True,0.6914,True,True,1.9053
sgmnet,iris,CASIA-Iris-Thousand_genuine_2,036,036,506,496,220,174,0.7909,True,0.7909,True,True,1.2468
aspanformer,iris,CASIA-Iris-Thousand_genuine_2,036,036,2414,2414,2414,2015,0.8347,True,0.8347,True,True,1.1986
deepdetect,iris,CASIA-Iris-Thousand_genuine_2,036,036,3825,3830,1680,1680,1.0000,True,1.0000,True,True,0.6127
loftr,iris,CASIA-Iris-Thousand_genuine_3,400,400,356,356,356,191,0.5365,True,0.5365,True,True,2.0084
orb,iris,CASIA-Iris-Thousand_genuine_3,400,400,95,38,6,0,,False,,True,False,
sift,iris,CASIA-Iris-Thousand_genuine_3,400,400,12,20,3,0,,False,,True,False,
superglue,iris,CASIA-Iris-Thousand_genuine_3,400,400,61,70,0,0,,False,,True,False,
sgmnet,iris,CASIA-Iris-Thousand_genuine_3,400,400,327,358,101,44,0.4356,True,0.4356,True,True,1.5054
aspanformer,iris,CASIA-Iris-Thousand_genuine_3,400,400,1278,1278,1278,837,0.6549,True,0.6549,True,True,1.8723
deepdetect,iris,CASIA-Iris-Thousand_genuine_3,400,400,2728,3079,60,60,1.0000,True,1.0000,True,True,1.1403
loftr,iris,CASIA-Iris-Thousand_genuine_4,356,356,294,294,294,139,0.4728,True,0.4728,True,True,2.3550
orb,iris,CASIA-Iris-Thousand_genuine_4,356,356,44,38,2,0,,False,,True,False,
sift,iris,CASIA-Iris-Thousand_genuine_4,356,356,12,13,1,0,,False,,True,False,
superglue,iris,CASIA-Iris-Thousand_genuine_4,356,356,57,59,26,14,0.5385,True,0.5385,True,True,1.3539
sgmnet,iris,CASIA-Iris-Thousand_genuine_4,356,356,228,411,54,17,0.3148,False,0.3148,True,False,1.5820
aspanformer,iris,CASIA-Iris-Thousand_genuine_4,356,356,1129,1129,1129,677,0.5996,True,0.5996,True,True,2.5512
deepdetect,iris,CASIA-Iris-Thousand_genuine_4,356,356,2430,2602,94,92,0.9787,True,0.9787,True,True,0.7932
loftr,iris,CASIA-Iris-Thousand_genuine_5,325,325,273,273,273,119,0.4359,False,0.4359,True,False,2.4714
orb,iris,CASIA-Iris-Thousand_genuine_5,325,325,37,43,4,0,,False,,True,False,
sift,iris,CASIA-Iris-Thousand_genuine_5,325,325,48,45,5,4,0.8000,True,0.8000,True,True,0.0000
superglue,iris,CASIA-Iris-Thousand_genuine_5,325,325,73,87,40,17,0.4250,False,0.4250,True,False,2.5003
sgmnet,iris,CASIA-Iris-Thousand_genuine_5,325,325,439,357,108,42,0.3889,False,0.3889,True,False,1.7974
aspanformer,iris,CASIA-Iris-Thousand_genuine_5,325,325,1431,1431,1431,740,0.5171,True,0.5171,True,True,2.0755
deepdetect,iris,CASIA-Iris-Thousand_genuine_5,325,325,3733,3887,8,8,1.0000,True,1.0000,True,True,1.3510
loftr,iris,CASIA-Iris-Thousand_genuine_6,203,203,133,133,133,60,0.4511,True,0.4511,True,True,2.5317
orb,iris,CASIA-Iris-Thousand_genuine_6,203,203,36,41,0,0,,False,,True,False,
sift,iris,CASIA-Iris-Thousand_genuine_6,203,203,24,21,0,0,,False,,True,False,
superglue,iris,CASIA-Iris-Thousand_genuine_6,203,203,54,78,22,12,0.5455,True,0.5455,True,True,1.4485
sgmnet,iris,CASIA-Iris-Thousand_genuine_6,203,203,191,368,26,11,0.4231,True,0.4231,True,True,1.0398
aspanformer,iris,CASIA-Iris-Thousand_genuine_6,203,203,942,942,942,659,0.6996,True,0.6996,True,True,2.4785
deepdetect,iris,CASIA-Iris-Thousand_genuine_6,203,203,2709,2210,2,0,,False,,True,False,
loftr,iris,CASIA-Iris-Thousand_genuine_7,149,149,275,275,275,133,0.4836,True,0.4836,True,True,2.7407
orb,iris,CASIA-Iris-Thousand_genuine_7,149,149,53,63,5,0,,False,,True,False,
sift,iris,CASIA-Iris-Thousand_genuine_7,149,149,35,46,5,5,1.0000,True,1.0000,True,True,1.1473
superglue,iris,CASIA-Iris-Thousand_genuine_7,149,149,56,97,52,23,0.4423,False,0.4423,True,False,2.4338
sgmnet,iris,CASIA-Iris-Thousand_genuine_7,149,149,375,436,98,37,0.3776,False,0.3776,True,False,1.4754
