matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,iris,CASIA-Iris-Thousand_genuine_0,931,931,2103,2103,2103,1496,0.7114,True,0.7114,True,True,1.2748
orb,iris,CASIA-Iris-Thousand_genuine_0,931,931,157,219,28,20,0.7143,True,0.6902,True,True,2.1720
sift,iris,CASIA-Iris-Thousand_genuine_0,931,931,35,109,9,7,0.7778,True,0.7453,True,True,0.6713
superglue,iris,CASIA-Iris-Thousand_genuine_0,931,931,642,631,383,164,0.4282,False,0.4123,True,False,2.2545
sgmnet,iris,CASIA-Iris-Thousand_genuine_0,931,931,2252,2889,841,242,0.2878,False,0.2836,True,False,1.7899
aspanformer,iris,CASIA-Iris-Thousand_genuine_0,931,931,3015,3015,3015,2985,0.9900,True,0.9900,True,True,0.9798
deepdetect,iris,CASIA-Iris-Thousand_genuine_0,931,931,6584,7520,81,70,0.8642,True,0.8642,True,True,0.8888
loftr,iris,CASIA-Iris-Thousand_genuine_1,162,162,815,815,815,523,0.6417,True,0.6201,True,True,2.1856
orb,iris,CASIA-Iris-Thousand_genuine_1,162,162,321,175,28,16,0.5714,True,0.5672,True,True,1.5958
sift,iris,CASIA-Iris-Thousand_genuine_1,162,162,66,52,10,7,0.7000,True,0.6708,True,True,1.2766
superglue,iris,CASIA-Iris-Thousand_genuine_1,162,162,619,282,242,111,0.4587,False,0.4251,True,False,3.0185
sgmnet,iris,CASIA-Iris-Thousand_genuine_1,162,162,1932,1361,771,315,0.4086,True,0.4040,True,True,1.7255
aspanformer,iris,CASIA-Iris-Thousand_genuine_1,162,162,959,959,959,714,0.7445,True,0.7335,True,True,1.7993
deepdetect,iris,CASIA-Iris-Thousand_genuine_1,162,162,6586,4402,48,38,0.7917,True,0.7917,True,True,1.7314
loftr,iris,CASIA-Iris-Thousand_genuine_2,036,036,2405,2405,2405,2096,0.8715,True,0.8715,True,True,1.4747
orb,iris,CASIA-Iris-Thousand_genuine_2,036,036,68,65,21,19,0.9048,True,0.9039,True,True,1.1312
sift,iris,CASIA-Iris-Thousand_genuine_2,036,036,43,44,19,16,0.8421,True,0.8396,True,True,1.5088
superglue,iris,CASIA-Iris-Thousand_genuine_2,036,036,665,601,499,171,0.3427,False,0.3233,True,False,2.6623
sgmnet,iris,CASIA-Iris-Thousand_genuine_2,036,036,2089,2123,1021,545,0.5338,True,0.5271,True,True,1.7505
aspanformer,iris,CASIA-Iris-Thousand_genuine_2,036,036,3022,3022,3022,3015,0.9977,True,0.9977,True,True,1.0828
deepdetect,iris,CASIA-Iris-Thousand_genuine_2,036,036,6947,7093,640,637,0.9953,True,0.9953,True,True,1.1123
loftr,iris,CASIA-Iris-Thousand_genuine_3,400,400,1097,1097,1097,307,0.2799,False,0.2699,True,False,2.2209
