matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_0,931,931,1262,2105,62,34,0.5484,True,0.5418,True,True,1.7410
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_0,931,931,418,1109,47,23,0.4894,True,0.4663,True,True,2.4621
superglue-fingervein,iris,CASIA-Iris-Thousand_genuine_0,931,931,1214,1178,644,326,0.5062,True,0.4749,True,True,2.7780
sgmnet-fingervein,iris,CASIA-Iris-Thousand_genuine_0,931,931,2000,2000,755,113,0.1497,False,0.1475,True,False,1.7857
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_1,162,162,3910,3213,77,39,0.5065,True,0.4936,True,True,2.0164
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_1,162,162,763,712,29,14,0.4828,True,0.4722,True,True,1.8405
superglue-fingervein,iris,CASIA-Iris-Thousand_genuine_1,162,162,1205,573,472,256,0.5424,True,0.5119,True,True,2.6564
sgmnet-fingervein,iris,CASIA-Iris-Thousand_genuine_1,162,162,1932,1361,893,320,0.3583,True,0.3531,True,True,1.7941
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_2,036,036,3249,3251,314,210,0.6688,True,0.6633,True,True,1.6638
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_2,036,036,610,642,113,87,0.7699,True,0.7540,True,True,1.9171
superglue-fingervein,iris,CASIA-Iris-Thousand_genuine_2,036,036,1296,1230,861,346,0.4019,True,0.3761,True,True,2.8249
sgmnet-fingervein,iris,CASIA-Iris-Thousand_genuine_2,036,036,2000,2000,1072,402,0.3750,True,0.3698,True,True,1.7815
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_3,400,400,2979,2631,36,9,0.2500,False,0.2380,True,False,1.9998
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_3,400,400,1059,745,20,0,,False,,True,False,
superglue-fingervein,iris,CASIA-Iris-Thousand_genuine_3,400,400,1348,1175,461,89,0.1931,True,0.1772,True,True,3.2094
sgmnet-fingervein,iris,CASIA-Iris-Thousand_genuine_3,400,400,2000,2000,480,23,0.0479,False,0.0477,True,False,1.5850
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_4,356,356,2032,1556,28,0,,False,,True,False,
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_4,356,356,1128,446,26,0,,False,,True,False,
superglue-fingervein,iris,CASIA-Iris-Thousand_genuine_4,356,356,1215,1132,109,33,0.3028,True,0.2851,True,True,2.7045
sgmnet-fingervein,iris,CASIA-Iris-Thousand_genuine_4,356,356,2000,2000,395,14,0.0354,False,0.0352,True,False,1.5232
orb-fingervein,iris,CASIA-Iris-Thousand_genuine_5,325,325,2308,2068,43,0,,False,,True,False,
sift-fingervein,iris,CASIA-Iris-Thousand_genuine_5,325,325,601,495,29,6,0.2069,False,0.1958,True,False,1.1272
