matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,iris,MMU-Iris_genuine_0,39,39,590,590,590,417,0.7068,True,0.6913,True,True,1.9423
orb,iris,MMU-Iris_genuine_0,39,39,124,112,5,0,,False,,True,False,
sift,iris,MMU-Iris_genuine_0,39,39,36,28,5,4,0.8000,True,0.7332,True,True,0.0000
superglue,iris,MMU-Iris_genuine_0,39,39,101,87,74,35,0.4730,False,0.4477,True,False,2.5983
sgmnet,iris,MMU-Iris_genuine_0,39,39,301,246,99,43,0.4343,True,0.4343,True,True,1.4621
aspanformer,iris,MMU-Iris_genuine_0,39,39,1055,1055,1055,948,0.8986,True,0.8986,True,True,1.3478
deepdetect,iris,MMU-Iris_genuine_0,39,39,4858,4966,83,77,0.9277,True,0.9277,True,True,0.4220
loftr,iris,MMU-Iris_genuine_1,14,14,342,342,342,195,0.5702,True,0.5456,True,True,2.3816
orb,iris,MMU-Iris_genuine_1,14,14,182,127,4,0,,False,,True,False,
sift,iris,MMU-Iris_genuine_1,14,14,45,18,5,0,,False,,True,False,
superglue,iris,MMU-Iris_genuine_1,14,14,114,99,30,17,0.5667,True,0.5447,True,True,2.2532
sgmnet,iris,MMU-Iris_genuine_1,14,14,407,371,73,30,0.4110,True,0.4109,True,True,1.4787
aspanformer,iris,MMU-Iris_genuine_1,14,14,986,986,986,919,0.9320,True,0.9320,True,True,1.3855
deepdetect,iris,MMU-Iris_genuine_1,14,14,5936,4843,99,90,0.9091,True,0.9091,True,True,0.7721
loftr,iris,MMU-Iris_genuine_2,10,10,358,358,358,267,0.7458,True,0.7440,True,True,1.5478
orb,iris,MMU-Iris_genuine_2,10,10,124,132,8,7,0.8750,True,0.8385,True,True,0.6041
sift,iris,MMU-Iris_genuine_2,10,10,17,19,2,0,,False,,True,False,
superglue,iris,MMU-Iris_genuine_2,10,10,96,94,75,35,0.4667,True,0.4526,True,True,2.1131
sgmnet,iris,MMU-Iris_genuine_2,10,10,288,289,100,56,0.5600,True,0.5600,True,True,1.4822
aspanformer,iris,MMU-Iris_genuine_2,10,10,794,794,794,643,0.8098,True,0.8098,True,True,1.3257
deepdetect,iris,MMU-Iris_genuine_2,10,10,4085,5422,89,89,1.0000,True,1.0000,True,True,0.6654
loftr,iris,MMU-Iris_genuine_3,44,44,544,544,544,433,0.7960,True,0.7890,True,True,1.6758
orb,iris,MMU-Iris_genuine_3,44,44,38,82,10,9,0.9000,True,0.8785,True,True,0.5332
sift,iris,MMU-Iris_genuine_3,44,44,22,29,14,12,0.8571,True,0.8490,True,True,1.3127
superglue,iris,MMU-Iris_genuine_3,44,44,92,108,79,51,0.6456,True,0.6195,True,True,2.3230
sgmnet,iris,MMU-Iris_genuine_3,44,44,285,306,107,69,0.6449,True,0.6449,True,True,1.3306
aspanformer,iris,MMU-Iris_genuine_3,44,44,757,757,757,464,0.6129,True,0.6107,True,True,1.5720
deepdetect,iris,MMU-Iris_genuine_3,44,44,5845,5047,42,42,1.0000,True,1.0000,True,True,1.4362
