matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,iris,MMU-Iris_genuine_0,39,39,1952,1952,1952,931,0.4769,True,0.4582,True,True,2.3004
orb-fingervein,iris,MMU-Iris_genuine_0,39,39,3842,4079,69,35,0.5072,True,0.4819,True,True,2.5258
sift-fingervein,iris,MMU-Iris_genuine_0,39,39,1476,1436,51,15,0.2941,False,0.2881,True,False,1.8424
superglue-fingervein,iris,MMU-Iris_genuine_0,39,39,2048,1569,973,362,0.3720,True,0.3444,True,True,3.0414
sgmnet-fingervein,iris,MMU-Iris_genuine_0,39,39,2000,2000,792,82,0.1035,False,0.1027,True,False,1.6526
aspanformer,iris,MMU-Iris_genuine_0,39,39,1785,1785,1785,964,0.5401,True,0.5260,True,True,2.0269
deepdetect,iris,MMU-Iris_genuine_0,39,39,11193,10709,55,44,0.8000,True,0.8000,True,True,1.0380
loftr,iris,MMU-Iris_genuine_1,14,14,1048,1048,1048,461,0.4399,False,0.4240,True,False,2.2348
orb-fingervein,iris,MMU-Iris_genuine_1,14,14,4530,4227,75,23,0.3067,False,0.3004,True,False,1.9082
sift-fingervein,iris,MMU-Iris_genuine_1,14,14,2170,2193,54,12,0.2222,False,0.2169,True,False,1.7914
superglue-fingervein,iris,MMU-Iris_genuine_1,14,14,1444,1151,670,190,0.2836,True,0.2644,True,True,2.9012
sgmnet-fingervein,iris,MMU-Iris_genuine_1,14,14,2000,2000,583,46,0.0789,False,0.0779,True,False,1.7606
aspanformer,iris,MMU-Iris_genuine_1,14,14,1200,1200,1200,685,0.5708,True,0.5530,True,True,2.1344
deepdetect,iris,MMU-Iris_genuine_1,14,14,11841,9559,80,66,0.8250,True,0.8250,True,True,1.1268
loftr,iris,MMU-Iris_genuine_2,10,10,1660,1660,1660,819,0.4934,True,0.4730,True,True,2.3452
orb-fingervein,iris,MMU-Iris_genuine_2,10,10,3904,4118,64,33,0.5156,True,0.4950,True,True,2.3151
sift-fingervein,iris,MMU-Iris_genuine_2,10,10,1234,1505,42,12,0.2857,False,0.2768,True,False,1.9454
superglue-fingervein,iris,MMU-Iris_genuine_2,10,10,1405,960,708,213,0.3008,True,0.2804,True,True,2.9103
sgmnet-fingervein,iris,MMU-Iris_genuine_2,10,10,2000,2000,1024,197,0.1924,False,0.1894,True,False,1.8087
aspanformer,iris,MMU-Iris_genuine_2,10,10,1988,1988,1988,1144,0.5755,True,0.5631,True,True,1.9343
deepdetect,iris,MMU-Iris_genuine_2,10,10,8410,10047,9,7,0.7778,True,0.7778,True,True,1.7242
loftr,iris,MMU-Iris_genuine_3,44,44,1792,1792,1792,1340,0.7478,True,0.7340,True,True,1.8717
orb-fingervein,iris,MMU-Iris_genuine_3,44,44,3619,4240,154,134,0.8701,True,0.8623,True,True,1.6800
sift-fingervein,iris,MMU-Iris_genuine_3,44,44,1271,1624,47,24,0.5106,True,0.4975,True,True,2.0169
superglue-fingervein,iris,MMU-Iris_genuine_3,44,44,1001,1950,765,346,0.4523,True,0.4256,True,True,2.7161
sgmnet-fingervein,iris,MMU-Iris_genuine_3,44,44,2000,2000,1166,324,0.2779,True,0.2727,True,True,1.8790
aspanformer,iris,MMU-Iris_genuine_3,44,44,2171,2171,2171,1174,0.5408,True,0.5385,True,True,1.5821
deepdetect,iris,MMU-Iris_genuine_3,44,44,9498,9569,33,31,0.9394,True,0.9394,True,True,1.3920
loftr,iris,MMU-Iris_genuine_4,22,22,1342,1342,1342,504,0.3756,False,0.3568,True,False,2.5229
orb-fingervein,iris,MMU-Iris_genuine_4,22,22,4495,4786,42,23,0.5476,True,0.5389,True,True,1.8173
sift-fingervein,iris,MMU-Iris_genuine_4,22,22,1558,1890,36,12,0.3333,False,0.3240,True,False,1.8760
superglue-fingervein,iris,MMU-Iris_genuine_4,22,22,1963,2048,895,375,0.4190,True,0.3939,True,True,2.7344
sgmnet-fingervein,iris,MMU-Iris_genuine_4,22,22,2000,2000,811,140,0.1726,False,0.1705,True,False,1.7507
aspanformer,iris,MMU-Iris_genuine_4,22,22,1236,1236,1236,595,0.4814,True,0.4615,True,True,2.3421
deepdetect,iris,MMU-Iris_genuine_4,22,22,10264,10866,11,8,0.7273,True,0.7273,True,True,0.4981
loftr,iris,MMU-Iris_genuine_5,20,20,1379,1379,1379,514,0.3727,False,0.3531,True,False,2.5818
orb-fingervein,iris,MMU-Iris_genuine_5,20,20,1493,2724,22,10,0.4545,False,0.4465,True,False,0.8448
sift-fingervein,iris,MMU-Iris_genuine_5,20,20,520,860,24,9,0.3750,False,0.3640,True,False,1.6138
superglue-fingervein,iris,MMU-Iris_genuine_5,20,20,1118,1263,706,247,0.3499,True,0.3249,True,True,2.9795
sgmnet-fingervein,iris,MMU-Iris_genuine_5,20,20,2000,2000,782,79,0.1010,False,0.1001,True,False,1.6895
aspanformer,iris,MMU-Iris_genuine_5,20,20,2068,2068,2068,1161,0.5614,True,0.5514,True,True,1.8589
deepdetect,iris,MMU-Iris_genuine_5,20,20,8151,9495,11,11,1.0000,True,1.0000,True,True,0.0797
loftr,iris,MMU-Iris_genuine_6,2,2,570,570,570,77,0.1351,False,0.1301,True,False,2.2546
orb-fingervein,iris,MMU-Iris_genuine_6,2,2,4035,4570,49,9,0.1837,False,0.1784,True,False,1.6046
sift-fingervein,iris,MMU-Iris_genuine_6,2,2,2222,2008,37,0,,False,,True,False,
superglue-fingervein,iris,MMU-Iris_genuine_6,2,2,752,1512,333,56,0.1682,True,0.1557,True,True,3.0364
sgmnet-fingervein,iris,MMU-Iris_genuine_6,2,2,2000,2000,419,18,0.0430,False,0.0429,True,False,1.3053
aspanformer,iris,MMU-Iris_genuine_6,2,2,274,274,274,108,0.3942,False,0.3800,True,False,2.2293
deepdetect,iris,MMU-Iris_genuine_6,2,2,7917,11212,6,0,,False,,True,False,
loftr,iris,MMU-Iris_genuine_7,16,16,1603,1603,1603,753,0.4697,False,0.4466,True,False,2.5119
orb-fingervein,iris,MMU-Iris_genuine_7,16,16,4011,3982,25,8,0.3200,False,0.3098,True,False,1.1146
sift-fingervein,iris,MMU-Iris_genuine_7,16,16,1185,1149,37,7,0.1892,False,0.1813,True,False,0.8402
superglue-fingervein,iris,MMU-Iris_genuine_7,16,16,1614,1427,867,286,0.3299,True,0.3057,True,True,3.0239
sgmnet-fingervein,iris,MMU-Iris_genuine_7,16,16,2000,2000,585,37,0.0632,False,0.0632,True,False,1.4564
aspanformer,iris,MMU-Iris_genuine_7,16,16,2022,2022,2022,1256,0.6212,True,0.6133,True,True,1.7547
deepdetect,iris,MMU-Iris_genuine_7,16,16,11203,10184,30,25,0.8333,True,0.8333,True,True,1.3476
loftr,iris,MMU-Iris_genuine_8,44,44,1854,1854,1854,1510,0.8145,True,0.8020,True,True,1.8086
orb-fingervein,iris,MMU-Iris_genuine_8,44,44,4095,3933,147,107,0.7279,True,0.7199,True,True,1.7200
sift-fingervein,iris,MMU-Iris_genuine_8,44,44,1437,1383,69,36,0.5217,True,0.5113,True,True,1.9041
superglue-fingervein,iris,MMU-Iris_genuine_8,44,44,1551,996,789,419,0.5311,True,0.5010,True,True,2.6634
sgmnet-fingervein,iris,MMU-Iris_genuine_8,44,44,2000,2000,1139,366,0.3213,True,0.3177,True,True,1.7284
aspanformer,iris,MMU-Iris_genuine_8,44,44,2729,2729,2729,2392,0.8765,True,0.8619,True,True,1.8364
deepdetect,iris,MMU-Iris_genuine_8,44,44,10001,10257,110,105,0.9545,True,0.9545,True,True,1.0272
loftr,iris,MMU-Iris_genuine_9,14,14,1900,1900,1900,1092,0.5747,True,0.5677,True,True,1.7476
orb-fingervein,iris,MMU-Iris_genuine_9,14,14,4148,4206,87,32,0.3678,False,0.3553,True,False,2.1938
sift-fingervein,iris,MMU-Iris_genuine_9,14,14,1611,1672,60,20,0.3333,False,0.3256,True,False,1.9549
superglue-fingervein,iris,MMU-Iris_genuine_9,14,14,1083,1674,773,311,0.4023,True,0.3764,True,True,2.8344
sgmnet-fingervein,iris,MMU-Iris_genuine_9,14,14,2000,2000,1040,176,0.1692,False,0.1659,True,False,1.9030
aspanformer,iris,MMU-Iris_genuine_9,14,14,2276,2276,2276,1406,0.6178,True,0.6133,True,True,1.6433
deepdetect,iris,MMU-Iris_genuine_9,14,14,11231,10774,70,54,0.7714,True,0.7714,True,True,1.6041
loftr,iris,MMU-Iris_genuine_10,41,41,2017,2017,2017,1130,0.5602,True,0.5303,True,True,2.5982
orb-fingervein,iris,MMU-Iris_genuine_10,41,41,2808,3303,23,13,0.5652,True,0.5415,True,True,2.2209
sift-fingervein,iris,MMU-Iris_genuine_10,41,41,1037,1321,24,12,0.5000,True,0.4805,True,True,2.1058
superglue-fingervein,iris,MMU-Iris_genuine_10,41,41,574,604,339,103,0.3038,True,0.2876,True,True,2.5978
sgmnet-fingervein,iris,MMU-Iris_genuine_10,41,41,2000,2000,778,97,0.1247,False,0.1228,True,False,1.8063
aspanformer,iris,MMU-Iris_genuine_10,41,41,2500,2500,2500,1461,0.5844,True,0.5606,True,True,2.3326
deepdetect,iris,MMU-Iris_genuine_10,41,41,8821,8442,86,82,0.9535,True,0.9535,True,True,0.4409
loftr,iris,MMU-Iris_genuine_11,44,44,1620,1620,1620,547,0.3377,False,0.3196,True,False,2.6011
orb-fingervein,iris,MMU-Iris_genuine_11,44,44,3933,4240,101,65,0.6436,True,0.6276,True,True,2.0034
