matcher,modality,pair_id,identity1,identity2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,iris,MMU-Iris_genuine_0,6,6,626,471,0.7524,True,0.7524,True,True,1.6896
LoFTR_indoor,iris,MMU-Iris_genuine_1,9,9,312,277,0.8878,True,0.8878,True,True,1.2675
LoFTR_indoor,iris,MMU-Iris_genuine_2,8,8,534,413,0.7734,True,0.7734,True,True,1.4421
LoFTR_indoor,iris,MMU-Iris_genuine_3,35,35,628,485,0.7723,True,0.7723,True,True,1.0623
LoFTR_indoor,iris,MMU-Iris_genuine_4,14,14,565,401,0.7097,True,0.7097,True,True,1.5079
LoFTR_indoor,iris,MMU-Iris_genuine_5,11,11,620,411,0.6629,True,0.6629,True,True,1.5961
LoFTR_indoor,iris,MMU-Iris_genuine_6,40,40,552,429,0.7772,True,0.7772,True,True,2.0477
LoFTR_indoor,iris,MMU-Iris_genuine_7,34,34,730,542,0.7425,True,0.7425,True,True,1.6439
LoFTR_indoor,iris,MMU-Iris_genuine_8,7,7,676,529,0.7825,True,0.7825,True,True,2.2682
LoFTR_indoor,iris,MMU-Iris_genuine_9,1,1,517,354,0.6847,True,0.6847,True,True,2.3564
LoFTR_indoor,iris,MMU-Iris_genuine_10,13,13,685,440,0.6423,True,0.6423,True,True,2.0554
LoFTR_indoor,iris,MMU-Iris_genuine_11,45,45,794,436,0.5491,True,0.5491,True,True,2.5376
LoFTR_indoor,iris,MMU-Iris_genuine_12,20,20,346,264,0.7630,True,0.7630,True,True,1.3952
LoFTR_indoor,iris,MMU-Iris_genuine_13,17,17,533,408,0.7655,True,0.7655,True,True,1.4141
LoFTR_indoor,iris,MMU-Iris_genuine_14,28,28,520,400,0.7692,True,0.7692,True,True,1.3636
LoFTR_indoor,iris,MMU-Iris_genuine_15,31,31,561,404,0.7201,True,0.7201,True,True,1.7934
LoFTR_indoor,iris,MMU-Iris_genuine_16,31,31,627,445,0.7097,True,0.7097,True,True,1.4042
LoFTR_indoor,iris,MMU-Iris_genuine_17,19,19,504,361,0.7163,True,0.7163,True,True,2.3198
LoFTR_indoor,iris,MMU-Iris_genuine_18,28,28,534,326,0.6105,True,0.6105,True,True,1.4533
LoFTR_indoor,iris,MMU-Iris_genuine_19,12,12,473,391,0.8266,True,0.8266,True,True,1.3922
LoFTR_indoor,iris,MMU-Iris_genuine_20,7,7,559,376,0.6726,True,0.6726,True,True,0.9115
