matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
SIFT,face,Multi-PIE_genuine_0,047,047,63,57,6,5,0.8333,True,0.8333,True,True,0.4369
SuperGlue,face,Multi-PIE_genuine_0,047,047,320,321,157,81,0.5159,True,0.5159,True,True,2.7190
SIFT,face,Multi-PIE_genuine_1,011,011,31,73,1,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_1,011,011,214,360,135,54,0.4000,False,0.4000,True,False,2.8902
SIFT,face,Multi-PIE_genuine_2,114,114,73,67,7,5,0.7143,True,0.7143,True,True,0.0000
SuperGlue,face,Multi-PIE_genuine_2,114,114,207,321,154,55,0.3571,False,0.3571,True,False,2.6249
SIFT,face,Multi-PIE_genuine_3,102,102,89,119,2,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_3,102,102,346,356,134,43,0.3209,False,0.3209,True,False,2.5149
SIFT,face,Multi-PIE_genuine_4,093,093,54,72,3,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_4,093,093,254,357,148,52,0.3514,False,0.3514,True,False,2.6041
SIFT,face,Multi-PIE_genuine_5,058,058,44,42,18,12,0.6667,True,0.6667,True,True,1.7613
SuperGlue,face,Multi-PIE_genuine_5,058,058,200,191,107,67,0.6262,True,0.6262,True,True,2.5708
SIFT,face,Multi-PIE_genuine_6,043,043,154,234,48,21,0.4375,False,0.4375,True,False,1.7792
SuperGlue,face,Multi-PIE_genuine_6,043,043,278,270,145,83,0.5724,True,0.5724,True,True,2.5306
SIFT,face,Multi-PIE_genuine_7,227,227,18,48,3,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_7,227,227,153,269,89,35,0.3933,False,0.3933,True,False,2.6029
SIFT,face,Multi-PIE_genuine_8,036,036,30,45,2,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_8,036,036,234,363,128,55,0.4297,False,0.4297,True,False,2.4345
SIFT,face,Multi-PIE_genuine_9,246,246,104,112,43,33,0.7674,True,0.7674,True,True,1.3851
SuperGlue,face,Multi-PIE_genuine_9,246,246,412,411,269,196,0.7286,True,0.7286,True,True,1.7226
SIFT,face,Multi-PIE_impostor_0,247,019,36,105,1,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_0,247,019,282,381,136,40,0.2941,False,0.2941,False,True,2.7981
SIFT,face,Multi-PIE_impostor_1,195,002,41,58,0,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_1,195,002,177,311,13,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_2,147,036,21,46,0,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_2,147,036,170,323,98,26,0.2653,False,0.2653,False,True,2.6789
SIFT,face,Multi-PIE_impostor_3,014,244,81,159,1,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_3,014,244,404,433,8,5,0.6250,True,0.6250,False,False,0.8424
SIFT,face,Multi-PIE_impostor_4,180,182,64,32,0,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_4,180,182,231,261,47,17,0.3617,False,0.3617,False,True,2.2881
SIFT,face,Multi-PIE_impostor_5,111,207,92,70,5,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_5,111,207,359,459,118,27,0.2288,False,0.2288,False,True,2.0298
SIFT,face,Multi-PIE_impostor_6,075,202,68,37,0,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_6,075,202,333,278,55,14,0.2545,False,0.2545,False,True,1.9561
SIFT,face,Multi-PIE_impostor_7,247,141,40,12,1,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_7,247,141,233,141,76,22,0.2895,False,0.2895,False,True,2.6156
SIFT,face,Multi-PIE_impostor_8,097,220,140,58,3,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_8,097,220,434,296,84,14,0.1667,False,0.1667,False,True,2.2367
SIFT,face,Multi-PIE_impostor_9,227,036,40,49,3,0,,False,,False,True,
SuperGlue,face,Multi-PIE_impostor_9,227,036,289,281,70,19,0.2714,False,0.2714,False,True,2.1464
