experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,threshold_analysis_file,eer,accuracy,precision,recall,roc_auc,tar,far,frr,trr,num_pairs,num_genuine,num_impostor,avg_inlier_ratio
1k_hands_masked_all_matchers,All matchers 1k Hands masked,loftr,LoFTR_indoor,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/LoFTR_indoor_threshold_analysis.json,0.455,0.598,0.8712121212121212,0.23,0.596268,0.23,0.034,0.77,0.966,1000,500,500,0.3016984945569716
1k_hands_masked_all_matchers,All matchers 1k Hands masked,orb,ORB,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/ORB_threshold_analysis.json,0.41500000000000004,0.577,0.7516339869281046,0.23,0.594484,0.23,0.076,0.77,0.924,1000,500,500,0.13212323808840581
1k_hands_masked_all_matchers,All matchers 1k Hands masked,sift,SIFT,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/SIFT_threshold_analysis.json,0.389,0.603,0.8238993710691824,0.262,0.6121260000000001,0.262,0.056,0.738,0.944,1000,500,500,0.11654785295898441
1k_hands_masked_all_matchers,All matchers 1k Hands masked,superglue,SuperGlue,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/SuperGlue_threshold_analysis.json,0.472,0.54,0.588495575221239,0.266,0.537074,0.266,0.186,0.734,0.814,1000,500,500,0.22779449588212083
1k_hands_masked_all_matchers,All matchers 1k Hands masked,sgmnet,SGMNet_root_SGM,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/SGMNet_root_SGM_threshold_analysis.json,0.48,0.546,0.5934959349593496,0.292,0.54295,0.292,0.2,0.708,0.8,1000,500,500,0.2995058281580379
1k_hands_masked_all_matchers,All matchers 1k Hands masked,aspanformer,ASpanFormer_indoor,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/ASpanFormer_indoor_threshold_analysis.json,0.445,0.55,0.5364431486880467,0.736,0.597588,0.736,0.636,0.264,0.364,1000,500,500,0.4827262289169091
1k_hands_masked_all_matchers,All matchers 1k Hands masked,deepdetect,DeepDetect,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_masked_all_matchers/config.yaml,bioverify/results/1k_hands_masked_all_matchers/summary.json,bioverify/results/1k_hands_masked_all_matchers/evaluation/DeepDetect_threshold_analysis.json,0.461,0.547,0.5394957983193277,0.642,0.584974,0.642,0.548,0.358,0.452,1000,500,500,0.40441632283948614
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,loftr,LoFTR_indoor,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/LoFTR_indoor_threshold_analysis.json,0.439,0.595,0.8861788617886179,0.218,0.6036539999999999,0.218,0.028,0.782,0.972,1000,500,500,0.29912699254777825
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,orb,ORB,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/ORB_threshold_analysis.json,0.433,0.566,0.7037037037037037,0.228,0.58118,0.228,0.096,0.772,0.904,1000,500,500,0.15609457895024065
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,sift,SIFT,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/SIFT_threshold_analysis.json,0.394,0.605,0.766497461928934,0.302,0.611642,0.302,0.092,0.698,0.908,1000,500,500,0.14835089311674352
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,superglue,SuperGlue,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/SuperGlue_threshold_analysis.json,0.464,0.541,0.593607305936073,0.26,0.545602,0.26,0.178,0.74,0.822,1000,500,500,0.27727621929811846
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,sgmnet,SGMNet_root_SGM,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/SGMNet_root_SGM_threshold_analysis.json,0.429,0.552,0.6083333333333333,0.292,0.582374,0.292,0.188,0.708,0.812,1000,500,500,0.29455604280162795
